Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
P48962	0.02	15.95	0.0426468510019935	0.9663988178792626	0.9860258701774305	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Slc25a4
Q91YR9	0.02	15.89	0.03347374632279118	0.9736230290431231	0.9860258701774305	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Ptgr1
O35409	0.01	15.47	0.030916697306149057	0.9756372563291801	0.9861723005319829	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Folh1
Q9DB20	-0.01	16.54	-0.021666170894402658	0.9829253346529685	0.9907139664647987	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Atp5po
P09103	-0.01	17.36	-0.017300092302738733	0.9863657461630291	0.9915978450157347	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	P4hb
P00687	0.01	19.88	0.016069410656840914	0.987335559064615	0.9915978450157347	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Amy1
Q8CIF4	-0.01	19.5	-0.014617652034066163	0.9884796127987041	0.9915978450157347	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Btd
P48441	0	15.42	0.007466175509373346	0.9941156344480544	0.9956811708802561	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Idua
P18181	-0	17.82	-0.004243953559380508	0.996655163160101	0.996655163160101	-6.39	Not significant	JPM-OEt 50mg vs JPM-OEt 100mg	Cd48
P22599	-6.07	22.64	-9.725051158522486	4.2791784004590294e-9	2.721557462691943e-6	11.04	Decreased	Venom + Actn 15mg vs Venom	Serpina1b
P23953	-5.01	21.63	-8.737742782243178	2.5258537310270835e-8	8.032214864666126e-6	9.35	Decreased	Venom + Actn 15mg vs Venom	Ces1c
P07759	-4.25	25.2	-8.264201506217587	6.183428216337536e-8	9.964756547792205e-6	8.49	Decreased	Venom + Actn 15mg vs Venom	Serpina3k
Q61730	-2.28	19.36	-8.257204816621295	6.26714248288818e-8	9.964756547792205e-6	8.47	Decreased	Venom + Actn 15mg vs Venom	Il1rap
Q61147	-2.58	20.9	-7.368677216088592	3.6453834967365245e-7	4.636927807848859e-5	6.76	Decreased	Venom + Actn 15mg vs Venom	Cp
O70362	-2.09	16.96	-7.030076463838547	7.332630437288357e-7	7.445161974148537e-5	6.09	Decreased	Venom + Actn 15mg vs Venom	Gpld1
O08677	-2.18	22.23	-6.96760605337662	8.355783022226068e-7	7.445161974148537e-5	5.96	Decreased	Venom + Actn 15mg vs Venom	Kng1
P12246	-2.02	21.07	-6.913275435753805	9.364983615281178e-7	7.445161974148537e-5	5.84	Decreased	Venom + Actn 15mg vs Venom	Apcs
