"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"IFI35",0.1,4.61918444608075,0.1,0.1,0.1,4.64496657415544,4.64901759727469,4.65904734758246,4.64022332137944,4.66724970193591,4.64955652876962,4.63888444656736,4.61662235742345,4.63273496310192,4.62461773732688
"IFITM3",0.1,4.47045214438746,0.1,0.1,4.4997067630464,4.58988802148178,4.60778746112254,4.59291452691217,4.61274788485898,4.60565030210853,4.59298691360089,4.58701376222811,4.58611977983424,4.58590240065854,4.59548454914184
"IFRD2",0.1,0.1,0.1,0.1,0.1,4.33990281012392,4.31598451376367,4.35234862336554,4.33925555716877,4.32864479710998,4.33510841821717,4.30681422207384,4.28808464436284,4.31238730652879,4.29659043803089
"IGBP1",4.4869656436567,4.54633744987654,4.5462506834186,4.52667712996422,4.5307483567642,4.51913858526339,4.51776647851956,4.50642615940494,4.50856564507456,4.48862872292324,4.51239348857386,4.50996176580019,4.48190261575179,4.50319556665494,4.49620573430981
"IGD1",4.59678749277954,4.59612421996009,4.60778550207827,4.56552480302093,4.60925283333087,4.45140310382252,4.45374271064562,4.44155646687124,4.45228018086308,4.43842948244582,4.33864762452079,4.37750124428932,4.33556360143042,0.1,4.32305574194095
"IGF2BP1",4.65541643286112,4.66890361194025,4.69473903589785,4.67638419814231,4.69297476839402,4.66943129029324,4.66034409889545,4.6538542199309,4.64126362681291,4.65714980196279,4.67081039483443,4.66511348650532,4.65349786490402,4.6600988479712,4.66199877093258
"IGF2BP3",4.73151316126975,4.76014543990562,4.75032249935544,4.72429001826117,4.7565831613522,4.74360797868609,4.75210952627553,4.73898755896487,4.74872997014513,4.73967311768437,4.73906928964611,4.73795287577333,4.72873608097713,4.73809092126516,4.74364986216319
"IGF2R",4.6264377521766,4.62204267826539,4.6485990614545,4.64553740911059,4.67713549540494,4.64262977018496,4.64427568531231,4.62460898714974,4.63962069711433,4.63618103943284,4.63374405529882,4.62671492983073,4.62196549229474,4.62503894866348,4.62608530595792
"IGO1",4.73047810536949,4.77435757577931,4.78903202159711,4.79056970718739,4.78949204004933,4.61947216049319,4.63963605897689,4.63153474781143,4.63184479737759,4.62927839973268,4.56825520278581,4.55951680276797,4.55111230475535,4.5632595921737,4.56685247927876
"IGO2",4.63760276505041,4.63694744946367,4.67608760125354,4.59125809508362,4.69114246039399,4.46524953240104,4.48157563614576,4.47392955319777,4.45060768333712,4.46920857813415,4.41062435857882,4.39082457444179,4.37476896339746,4.39948090296913,4.39649455520983
